iter	RMSE
0	54.31001363
1	54.30451842
2	54.2959088
3	54.27350859
4	54.2610618
5	54.24687641
6	54.23281838
7	54.2306753
8	54.19032161
9	54.14611135
10	54.08451172
11	54.03172191
12	54.01753349
13	53.95734684
14	53.95119713
15	53.95119327
16	53.90895783
17	53.88694591
18	53.87991811
19	53.84105007
20	53.82551817
21	53.82254069
22	53.81579858
23	53.81579687
24	53.77615217
25	53.77260971
26	53.77260966
27	53.76520252
28	53.75528691
29	53.73239257
30	53.71323022
31	53.65344749
32	53.61817564
33	53.56859357
34	53.52859755
35	53.52044568
36	53.49001906
37	53.4747105
38	53.45381724
39	53.45375812
40	53.39497088
41	53.37431323
42	53.3251942
43	53.30393139
44	53.30343812
45	53.27409582
46	53.26430377
47	53.2543784
48	53.23895727
49	53.21177568
50	53.17873612
51	53.16965229
