iter	Passed	Remaining
0	1	872
1	2	661
2	4	673
3	4	585
4	5	582
5	6	533
6	7	494
7	7	457
8	8	479
9	9	460
10	10	449
11	10	439
12	11	431
13	12	432
14	12	415
15	13	395
16	14	406
17	15	417
18	16	411
19	16	404
20	17	391
21	17	379
22	18	381
23	18	367
24	19	361
25	19	353
26	19	341
27	19	332
28	20	336
29	21	334
30	21	331
31	22	329
32	23	326
33	23	323
34	24	320
35	25	332
36	26	331
37	27	330
38	27	329
39	28	323
40	28	321
41	29	318
42	29	314
43	30	313
44	30	307
45	30	305
46	31	300
47	31	298
48	32	297
49	32	296
50	33	295
51	34	294
